Existence of educational resources - exists,Type and size of educational resources - vocational institute,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Governorate,Nb of universities by type - Private universities,Type and size of educational resources - private schools
0,0,1,0,0,0,0,Bireh,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,A'ain El-Mir (El Establ),South_Governorate,0,0
1,0,0,0,2250,1,0,AAridet Cheikh Zennad,Akkar_Governorate,0,0
0,0,1,0,0,0,0,Aaba,North_Governorate,0,0
1,0,0,0,4000,2,0,Aabadiyeh,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aabaydat,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,Aabba,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Mansoura.,Akkar_Governorate,0,0
1,3,0,0,21500,2,1,Aabbesiyyi,South_Governorate,1,14
1,0,0,0,0,0,0,Aabdine,North_Governorate,0,1
1,0,0,0,15000,1,0,Aabra Saida,South_Governorate,0,3
0,0,1,0,0,0,0,Aabrine,North_Governorate,0,0
1,0,0,0,0,0,0,Aachach,North_Governorate,0,2
0,0,0,0,0,0,0,Aachqout,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aadaysseh Marjaayoun,Nabatieh_Governorate,0,0
0,0,0,0,0,0,0,Aadchit Ech-Chqif,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Aadchit El-Qoussair,Nabatieh_Governorate,0,0
0,0,0,0,0,0,0,Aadloun,South_Governorate,0,0
1,0,0,0,1790,1,0,Aadoussiyeh,South_Governorate,0,0
0,0,1,0,0,0,0,Aafsdiq,North_Governorate,0,0
1,0,0,0,2500,2,0,Aain Aanoub,Mount_Lebanon_Governorate,0,0
1,0,0,0,700,1,0,Aain Aarab Rachaya,Beqaa_Governorate,0,0
1,0,0,0,2170,1,0,Aain Aata,Beqaa_Governorate,0,0
0,0,0,0,0,0,0,Aain Dara,Mount_Lebanon_Governorate,0,0
1,1,0,1,4260,1,1,Aain Drafil,Mount_Lebanon_Governorate,0,1
1,0,0,0,2000,1,0,Aain Ed-Delb,South_Governorate,0,2
0,0,1,0,0,0,0,Aain Ed-Delbe,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Ej-Jdideh Aaley,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain El Saydeh,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain El-Ghouaybeh,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,Aain El-Kharroubeh,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain El-Qabu,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,Aain Er-Rihane,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Er-Roummaneh Aaley,Mount_Lebanon_Governorate,0,0
1,1,0,0,2000,2,0,Aain Es-Sindiane,Mount_Lebanon_Governorate,0,1
0,0,1,0,0,0,0,Aain Et-Teffaha,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Et-Tineh-Miniyeh,North_Governorate,0,0
1,0,0,0,3500,1,0,Aain Ez-Zeit,Akkar_Governorate,0,1
0,0,1,0,0,0,0,Aain Ez-Zeitouneh,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Fraidis,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Harsha,Beqaa_Governorate,0,0
0,0,1,0,0,0,0,Aain Ibl,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Aain Jarfa,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Aain Jrain,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Kfaa,Mount_Lebanon_Governorate,0,0
1,0,0,0,5000,1,0,Aain Kfar Zabad,Beqaa_Governorate,0,0
0,0,1,0,0,0,0,Aain Ksour,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain Mouaffaq,Mount_Lebanon_Governorate,0,0
1,0,0,1,2140,1,1,Aain Ouzain,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,Aain Qana,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Aain Qania,Mount_Lebanon_Governorate,0,0
1,0,0,0,3000,1,0,Aain Qinia,Nabatieh_Governorate,0,0
0,0,0,0,0,0,0,Aain Saadeh,Mount_Lebanon_Governorate,0,0
1,1,0,0,566,3,0,Aain Tinta,Akkar_Governorate,0,6
0,0,1,0,0,0,0,Aain Traz,Mount_Lebanon_Governorate,0,0
1,1,0,0,3150,1,0,Aain Yaaqoub,Akkar_Governorate,0,0
1,2,0,0,1500,2,0,Aain Zebdeh,Beqaa_Governorate,0,2
0,0,1,0,0,0,0,Aain Zhalta,Mount_Lebanon_Governorate,0,0
0,0,1,0,0,0,0,Aain challal,Mount_Lebanon_Governorate,0,0
0,0,0,0,0,0,0,Aainbal,Mount_Lebanon_Governorate,0,0
1,0,0,0,1000,1,0,Aaita Ej-Jabal,Nabatieh_Governorate,0,0
1,0,0,0,6800,1,0,Aaiyat,Akkar_Governorate,0,0
0,0,0,0,0,0,0,Aajaltoun,Mount_Lebanon_Governorate,0,0
1,1,0,0,4400,5,0,Aakkar El-Aatiqa,Akkar_Governorate,0,7
0,0,1,0,0,0,0,Aaley,Mount_Lebanon_Governorate,0,0
1,0,0,0,3000,1,0,Aaley Bsatine,Mount_Lebanon_Governorate,0,1
0,0,1,0,0,0,0,Aali En-Nahri,Beqaa_Governorate,0,0
0,0,1,0,0,0,0,Aalma,North_Governorate,0,0
1,0,0,0,375,2,0,Aalma Ech-Chaab,South_Governorate,0,1
0,0,1,0,0,0,0,Aalman,Nabatieh_Governorate,0,0
0,0,1,0,0,0,0,Aalmane Ech-Chouf,Mount_Lebanon_Governorate,0,0
