Percentage of cases out of national total ,Existence of chronic diseases - Hypertension,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,Existence of chronic diseases - Diabetes 
1.00%,1,0,Bireh,72,1,1
1.00%,0,0,A'ain El-Mir (El Establ),62,0,0
0.00%,1,0,AAridet Cheikh Zennad,0,0,1
1.00%,1,0,Aaba,125,1,1
4.00%,1,0,Aabadiyeh,471,1,1
1.00%,1,0,Aabaydat,120,1,1
9.00%,0,0,Aabba,903,0,0
31.00%,1,0,Aabbesiyyi,3244,1,1
1.00%,1,0,Aabdine,84,1,1
20.00%,1,0,Aabra Saida,2156,1,1
2.00%,1,0,Aabrine,239,1,1
2.00%,1,0,Aachach,166,1,1
11.00%,0,0,Aachqout,1155,0,0
4.00%,1,0,Aadaysseh Marjaayoun,413,1,1
0.00%,0,0,Aadchit Ech-Chqif,6,0,0
0.00%,1,0,Aadchit El-Qoussair,22,1,1
11.00%,0,0,Aadloun,1176,0,0
1.00%,1,0,Aadoussiyeh,114,1,1
2.00%,0,1,Aafsdiq,175,0,0
4.00%,1,0,Aain Aanoub,394,1,1
0.00%,1,0,Aain Aarab Rachaya,25,1,1
1.00%,1,0,Aain Aata,157,1,1
3.00%,0,0,Aain Dara,283,0,0
1.00%,1,0,Aain Drafil,122,0,1
5.00%,1,0,Aain Ed-Delb,522,1,1
0.00%,0,1,Aain Ed-Delbe,8,0,0
1.00%,1,0,Aain Ej-Jdideh Aaley,60,1,1
0.00%,0,1,Aain El Saydeh,2,0,0
0.00%,1,0,Aain El-Ghouaybeh,0,1,1
3.00%,1,0,Aain El-Kharroubeh,298,1,1
0.00%,1,0,Aain El-Qabu,6,1,1
5.00%,0,0,Aain Er-Rihane,530,0,0
0.00%,1,0,Aain Er-Roummaneh Aaley,35,1,1
2.00%,1,0,Aain Es-Sindiane,228,1,1
0.00%,1,0,Aain Et-Teffaha,12,1,1
0.00%,1,0,Aain Et-Tineh-Miniyeh,27,1,1
0.00%,1,0,Aain Ez-Zeit,1,1,1
0.00%,1,0,Aain Ez-Zeitouneh,1,1,1
0.00%,1,0,Aain Fraidis,0,1,0
0.00%,1,0,Aain Harsha,16,1,1
4.00%,1,0,Aain Ibl,448,1,1
1.00%,1,0,Aain Jarfa,63,1,1
0.00%,1,0,Aain Jrain,2,1,1
0.00%,1,0,Aain Kfaa,5,1,1
4.00%,1,0,Aain Kfar Zabad,473,1,1
1.00%,1,0,Aain Ksour,78,1,1
0.00%,1,0,Aain Mouaffaq,1,1,1
4.00%,1,0,Aain Ouzain,444,1,1
4.00%,0,0,Aain Qana,459,0,0
1.00%,1,0,Aain Qania,83,1,1
1.00%,1,0,Aain Qinia,151,1,1
40.00%,0,0,Aain Saadeh,4240,0,0
0.00%,1,0,Aain Tinta,0,1,1
0.00%,1,0,Aain Traz,0,1,1
1.00%,1,0,Aain Yaaqoub,131,1,1
1.00%,1,0,Aain Zebdeh,75,1,1
2.00%,1,0,Aain Zhalta,193,1,1
0.00%,0,1,Aain challal,0,0,0
1.00%,0,0,Aainbal,74,0,0
0.00%,1,0,Aaita Ej-Jabal,2,1,1
2.00%,1,0,Aaiyat,223,1,1
7.00%,0,0,Aajaltoun,692,0,0
11.00%,1,0,Aakkar El-Aatiqa,1197,1,1
41.00%,1,0,Aaley,4298,1,1
0.00%,1,0,Aaley Bsatine,8,1,1
14.00%,0,1,Aali En-Nahri,1455,0,0
3.00%,1,0,Aalma,313,1,1
2.00%,1,0,Aalma Ech-Chaab,221,1,1
0.00%,1,0,Aalman,0,1,1
3.00%,1,0,Aalmane Ech-Chouf,275,1,1
0.00%,1,0,Aamaret El-Baykat,2,1,1
0.00%,1,0,Aamayer,0,0,1
34.00%,1,0,Aamchit,3559,1,1
2.00%,1,0,Aammatour,215,1,1
1.00%,1,0,Aammiq Ech-Chouf,63,1,1
2.00%,1,0,Aana,199,1,1
4.00%,1,0,Aandqet,390,1,1
4.00%,1,0,Aanjar (Haouch Moussa),417,1,1
5.00%,1,0,Aanout,534,1,1
9.00%,1,0,Aanqoun,962,1,1
0.00%,1,0,Aaouaainat Aakkar,25,1,1
2.00%,1,0,Aaqabet Rachaya,259,1,1
9.00%,1,0,Aaqaibeh Kesrouane,915,1,1
1.00%,1,0,Aaqtanit,99,1,1
0.00%,0,0,Aarab Ej-Jall,1,0,0
10.00%,1,0,Aarab Salim,1061,1,1
0.00%,1,0,Aarab Tabbaya,3,1,1
6.00%,1,0,Aaraiya,639,1,1
35.00%,1,0,Aaramoun Kesrouane,3701,1,1
2.00%,1,0,Aaramta,179,1,1
1.00%,1,0,Aaray,111,1,1
0.00%,0,0,Aarbaniyeh,45,0,0
0.00%,1,0,Aarbet Qozhaiya,6,1,1
0.00%,1,0,Aarjis,27,1,1
1.00%,0,0,Aarqa,151,0,1
7.00%,1,0,Aarsal,757,1,1
1.00%,1,0,Aassoun,107,1,1
3.00%,1,0,Aatchaneh,330,1,1
1.00%,1,0,Aathrine,65,1,1
0.00%,1,0,Aaychiyeh,4,1,1
0.00%,1,0,Aayha,1,1,1
0.00%,1,0,Aaymar,6,1,1
0.00%,0,0,Aaynab,5,0,0
1.00%,1,0,Aaynata Baalbek,53,1,1
4.00%,1,0,Aaynata Bent Jbeil,447,1,1
0.00%,1,0,Aayoun Aakkar,6,1,1
0.00%,1,0,Aayoun El-Ghizlane,1,1,1
0.00%,1,0,Aayoun El-Matn,4,1,1
0.00%,1,0,Aayroun,42,1,1
6.00%,1,0,Aayta Ech-Chaab,618,1,1
1.00%,1,0,Aayta El-Foukhar,107,1,1
1.00%,1,0,Aaytanit,58,1,1
2.00%,1,0,Aaytat,239,1,1
11.00%,1,0,Aaytit,1130,1,1
0.00%,1,0,Aazour,48,0,1
0.00%,1,0,Aazqai,24,1,1
0.00%,1,0,Aazra ouel Aazr,21,1,1
